depth_mm,evaluated_voxels,voxel_difference_noise_RMS_pp,observed_voxel_difference_RMS_percent,central_peak_TOPAS_SE_percent,central_peak_GPU_SE_percent,central_peak_ratio_SE_pp,central_peak_CI95_half_width_pp,adjacent_valleys_TOPAS_SE_percent,adjacent_valleys_GPU_SE_percent,adjacent_valleys_ratio_SE_pp,adjacent_valleys_CI95_half_width_pp,inner_field_peaks_TOPAS_SE_percent,inner_field_peaks_GPU_SE_percent,inner_field_peaks_ratio_SE_pp,inner_field_peaks_CI95_half_width_pp,inner_field_valleys_TOPAS_SE_percent,inner_field_valleys_GPU_SE_percent,inner_field_valleys_ratio_SE_pp,inner_field_valleys_CI95_half_width_pp
106.125,377,4.296485188905244,4.290271286897318,0.35344060864007043,0.9208604954688387,0.9943341441259466,2.7991292748053747,0.556678989322948,0.901106643426394,1.0640640882959673,2.735471395785844,0.2240759565018335,0.05439435001910408,0.2302697098455584,0.6911177764096277,0.1719947764887585,0.16677821576141233,0.2382173502320614,0.5830308309597994
106.375,377,4.368696511408089,4.2553371203614,0.2857429437937198,1.0276322541465783,1.0716168337193095,3.1671804139578073,0.8426428010367722,0.7613710625338347,1.1370927806222604,2.789270795380023,0.2455151378176738,0.07075795120004054,0.2551158250783355,0.7505681834020534,0.24254543181090257,0.10083051142203256,0.2617245055374091,0.726173562394823
106.625,377,4.309207432035799,4.137087305797777,0.10051922026733129,0.9517090881931904,0.9615306358286726,3.0225887489243206,0.7480276054274823,0.7855222303394317,1.0852402849515712,2.657025393890229,0.24476599823289505,0.06540071057311209,0.2530560184880706,0.7515265469386939,0.21455852062451214,0.2979317037697784,0.36524020905918,0.9159350181118479
106.875,378,4.321926494950926,4.038901788165673,0.13614703233297357,0.7776825269689649,0.7942581915768067,2.447137089897075,0.43641479369051805,0.8823568375992049,0.9857457792382088,2.6446773127488084,0.2264067601011633,0.06357560399754036,0.23489570114091773,0.6933857576540484,0.18260924854113822,0.5281480364869222,0.5573674559606167,1.5969212986305592
107.125,377,4.46665321357232,4.18028281391708,0.16682360202259597,0.8500605898599215,0.8708752583409733,2.662830299044545,0.3989161234687418,0.6690185187945474,0.7829935452887571,2.025953033615164,0.2363953423339135,0.07711626787693429,0.24840765606954585,0.7182000394784461,0.265917109336467,0.5597867652925215,0.6216408617318792,1.6811341797721746
107.375,377,4.356527207491178,4.269802518364074,0.09140832528167842,0.8200958637601301,0.8307345160111562,2.6078797176015636,0.3417975218937389,0.9825533942403575,1.0487464531459454,3.001830052324079,0.2437863463263602,0.05291165898061755,0.2491773597875636,0.7558050035500968,0.21259554737095054,0.2684580956289259,0.3427677683289225,0.8495157658356178
107.625,378,4.518683602517603,4.577868639326507,0.18203615391984793,0.9063824919468875,0.9325475035452039,2.8464798770288824,0.4577334811858463,0.8833471818487707,0.9998148931671483,2.6578710960861915,0.27539174615339496,0.0812621308849176,0.28719158392103167,0.8423062038397253,0.12349681071623,0.4306262590291653,0.4477775105492211,1.3182360423180326
107.875,376,4.4241570332674796,4.230658718486727,0.11950224822985789,1.0549533454167954,1.0700093785959055,3.3575571291556345,0.6333045722583631,0.7118173176882189,0.9589907942893608,2.3542864613378427,0.2936170537543963,0.08935979897051881,0.30705726491745555,0.8967688455156427,0.21609554043054646,0.305000604111461,0.37543632779665886,0.9437060699292834
108.125,377,4.306642792464311,4.723115785362839,0.1765660498586159,1.0678470702127292,1.092015427649684,3.3756109840671993,0.4337097020711699,0.6739346998439172,0.8084914368730819,2.0635971889515976,0.325666392688924,0.13563248553435853,0.3530795839056915,0.9793118970265033,0.14404177882113828,0.27640367148946143,0.312479542383354,0.8297561106417356
108.375,379,4.380343095313947,4.715330743280791,0.2922230332696928,1.1084527029258069,1.1559807682912928,3.4384195269594255,0.6539604687048024,0.8181131060480925,1.0546001507559146,2.6111730247855527,0.3145103999085708,0.14761923141964786,0.34757961788758096,0.9421948359921557,0.32730236081816744,0.2643867264415124,0.42098301618793704,1.0412516656291417
