event_id,context,E_total_MeV,range_mm,dedx_MeV_mm,inverse_MeV,true_step_mm
482,2,84.291262587892888,0.046688500560928096,1093.3616956966121,84.291262929335034,0.0064495733607783925
483,0,87.916157853257957,0.24079176234836192,205.7671178280128,87.916435564908014,0.025875438565444091
484,1,87.916157853257957,0.24079176230790006,205.76711783498692,87.916435557912109,0.025875438561397276
485,2,87.916157853257957,0.049959991774821091,1063.1728629113086,87.916339402337499,0.0067779847629870788
486,0,91.696939568552096,0.25901219881165727,199.33328036115537,91.69718254208928,0.027697745141349882
487,1,91.696939568552096,0.25901219875581455,199.33328037071175,91.697182532996692,0.027697745135764864
488,2,91.696939568552096,0.053476152069008034,1033.4855308997737,91.697091056172226,0.0071307852749558391
489,0,95.640311537193782,0.27866431706080669,193.06488036511149,95.64034362641388,0.029663202013777427
490,1,95.640311537193782,0.27866431709913081,193.06488035817102,95.640343632668674,0.029663202017610284
491,2,95.640311537193782,0.057256176010505311,1004.3321013323483,95.640349102300334,0.0075098987727474521
492,0,99.753265855652529,0.29986265020139702,186.95830622165371,99.753652176893056,0.031783263646012597
493,1,99.753265855652529,0.29986265042091731,186.95830618308528,99.753652209770451,0.03178326366796682
494,2,99.753265855652529,0.06132065862037489,975.73780930982082,99.753601396720569,0.0079173889159601194
495,0,104.04309531131896,0.32273087599494998,181.01698216879311,104.04325464194238,0.034070298898236637
496,1,104.04309531131896,0.32273087619430962,181.0169821344299,104.04325466958973,0.03407029891817432
497,2,104.04309531131896,0.065691568239748324,947.74308388467739,104.04324008414699,0.008355456435567064
498,0,108.51740631353783,0.34740236500048421,175.23866447088122,108.51755027839718,0.036537645844109741
499,1,108.51740631353783,0.34740236462256396,175.23866453994677,108.51755022604017,0.036537645806314904
500,2,108.51740631353783,0.07039251483961291,920.36761823451639,108.51748283295241,0.0088264660336609194
501,0,113.18413238073215,0.37402117721117228,169.62139978394507,113.18458839864253,0.039199711440257114
502,1,113.18413238073215,0.37402117612670766,169.621399978212,113.18458826015953,0.03919971133180368
503,2,113.18413238073215,0.075449130461274744,893.61859134671784,113.18439948366911,0.0093329844792308433
504,0,118.0515482075334,0.40274289014502129,164.16393242181292,118.05160226686985,0.042072054338181279
505,1,118.0515482075334,0.40274288964618693,164.16393250503563,118.05160221124754,0.042072054288295073
506,2,118.0515482075334,0.080889254507018907,867.48796115852224,118.05155833129061,0.0098777991273665475
507,0,123.12828433685991,0.43373530109019737,158.85876305582173,123.12858557777965,0.045171455110748354
508,1,123.12828433685991,0.4337353036995274,158.85876256818921,123.12858588271693,0.045171455371693842
509,2,123.12828433685991,0.086742769248974963,841.94534412448627,123.12866722945547,0.010463901420313169
510,0,128.42334246295943,0.46718020613091665,153.70469716887578,128.42378563073072,0.048516094161610658
511,1,128.42334246295943,0.46718021101902685,153.70469627656615,128.42378615121694,0.048516094650441835
512,2,128.42334246295943,0.093040836751172556,817.04273706047354,128.42388388709068,0.011094410503299091
513,0,133.94611139254957,0.50327407182925576,148.70061284025604,133.94611093005645,0.050000000000000003
514,1,133.94611139254957,0.50327407149541559,148.7006129587721,133.94611086583018,0.050000000000000003
515,2,133.94611139254957,0.09981630916200708,792.8743910543966,133.94609479520287,0.011772614353601312
516,0,139.70638369235795,0.54222879448719186,143.84158418971694,139.7068823961439,0.050000000000000003
517,1,139.70638369235795,0.54222877927406299,143.84158711791673,139.70688092580281,0.050000000000000003
518,2,139.70638369235795,0.10710515629892522,769.4632083992409,139.70653462548583,0.012502112673105942
519,0,145.71437305257953,0.5842730922670879,139.12815138827415,145.71474595607498,0.050000000000000003
520,1,145.71437305257953,0.58427307251463478,139.12815504331942,145.71474426352054,0.050000000000000003
521,2,145.71437305257953,0.11494927831064607,746.57488087963009,145.71451658043176,0.01328709829082541
522,0,151.98073239703908,0.62965351407329417,134.55735316764427,151.98081340369853,0.050000000000000003
523,1,151.98073239703908,0.62965352992643375,134.55734966947867,151.98081488963103,0.050000000000000003
524,2,151.98073239703908,0.12339490416605985,723.83076286757,151.98081844674064,0.014132196760469354
525,0,158.51657277217038,0.67863611458508422,130.12509882046297,158.51722511564091,0.050000000000000003
526,1,158.51657277217038,0.67863619360412952,130.12508304116852,158.51723124156663,0.050000000000000003
527,2,158.51657277217038,0.13249249762801246,701.04818105276809,158.51704004654829,0.015042456925349222
528,0,165.33348304830463,0.73150825726853663,125.8306161629215,165.33370109030946,0.050000000000000003
529,1,165.33348304830463,0.73150832507306573,125.83060379854034,165.33370544448346,0.050000000000000003
530,2,165.33348304830463,0.14229729059974963,678.53242581712857,165.33361604738286,0.016023404273352488
531,0,172.44355046820112,0.78857963956481503,121.66832666424304,172.44382931221475,0.050000000000000003
