# E_MeV_total,t_req_mm,t_lim_mm,g_mm,t_inv_mm,lambda0_mm,range_mm
60.000000,1.000000000000e-01,1.000000000000e-01,9.999982811995e-02,1.000000000000e-01,2.909019600154e+04,8.333333333333e+00
60.000000,2.500000000000e-01,2.500000000000e-01,2.499989257565e-01,2.500000000000e-01,2.909019600154e+04,8.333333333333e+00
60.000000,1.250000000000e+01,8.333333333333e+00,8.330946805697e+00,8.333333333333e+00,2.909019600154e+04,8.333333333333e+00
60.000000,2.500000000000e+01,8.333333333333e+00,8.330946805697e+00,8.333333333333e+00,2.909019600154e+04,8.333333333333e+00
60.000000,4.166666666667e+00,4.166666666667e+00,4.166300428189e+00,4.166666666667e+00,2.909019600154e+04,8.333333333333e+00
60.000000,7.500000000000e+00,7.500000000000e+00,7.498401462229e+00,7.500000000000e+00,2.909019600154e+04,8.333333333333e+00
60.000000,8.333333333333e+00,8.333333333333e+00,8.330946805697e+00,8.333333333333e+00,2.909019600154e+04,8.333333333333e+00
240.000000,1.000000000000e-07,1.000000000000e-07,1.000000000000e-07,1.000000000000e-07,4.576536809801e+05,3.333333333333e+01
240.000000,2.000000000000e-07,2.000000000000e-07,2.000000000000e-07,2.000000000000e-07,4.576536809801e+05,3.333333333333e+01
240.000000,5.000000000000e-07,5.000000000000e-07,5.000000000000e-07,5.000000000000e-07,4.576536809801e+05,3.333333333333e+01
240.000000,7.000000000000e-07,7.000000000000e-07,7.000000000000e-07,7.000000000000e-07,4.576536809801e+05,3.333333333333e+01
240.000000,1.000000000000e-06,1.000000000000e-06,1.000000000000e-06,1.000000000000e-06,4.576536809801e+05,3.333333333333e+01
240.000000,2.000000000000e-06,2.000000000000e-06,1.999999999996e-06,2.000000000000e-06,4.576536809801e+05,3.333333333333e+01
240.000000,5.000000000000e-06,5.000000000000e-06,4.999999999973e-06,5.000000000000e-06,4.576536809801e+05,3.333333333333e+01
240.000000,1.000000000000e-05,1.000000000000e-05,9.999999999891e-06,1.000000000000e-05,4.576536809801e+05,3.333333333333e+01
240.000000,1.000000000000e-04,1.000000000000e-04,9.999999998907e-05,1.000000000000e-04,4.576536809801e+05,3.333333333333e+01
