depth_mm,evaluated_voxels,global_passing_voxels,global_pass_rate_percent,local_passing_voxels,local_pass_rate_percent
82.125,390,390,100.0,232,59.48717948717949
82.375,391,391,100.0,223,57.033248081841435
82.625,392,392,100.0,231,58.92857142857143
82.875,392,392,100.0,226,57.6530612244898
83.125,392,392,100.0,232,59.183673469387756
83.375,392,392,100.0,237,60.45918367346939
83.625,392,392,100.0,237,60.45918367346939
83.875,391,391,100.0,230,58.8235294117647
84.125,391,391,100.0,233,59.59079283887468
84.375,391,391,100.0,245,62.65984654731458
84.625,391,391,100.0,241,61.63682864450128
84.875,390,390,100.0,231,59.23076923076923
85.125,388,388,100.0,236,60.824742268041234
85.375,389,389,100.0,231,59.383033419023135
85.625,389,389,100.0,248,63.753213367609256
85.875,390,390,100.0,227,58.205128205128204
86.125,388,388,100.0,229,59.02061855670103
86.375,389,389,100.0,228,58.61182519280206
86.625,388,388,100.0,235,60.56701030927835
86.875,386,386,100.0,241,62.43523316062176
87.125,388,388,100.0,240,61.855670103092784
87.375,387,387,100.0,240,62.01550387596899
87.625,389,389,100.0,240,61.696658097686374
87.875,389,389,100.0,234,60.15424164524421
88.125,386,386,100.0,231,59.84455958549223
88.375,386,386,100.0,220,56.994818652849744
88.625,388,388,100.0,229,59.02061855670103
88.875,387,387,100.0,225,58.13953488372093
89.125,387,387,100.0,228,58.91472868217054
89.375,385,385,100.0,220,57.142857142857146
89.625,388,388,100.0,240,61.855670103092784
89.875,389,389,100.0,232,59.6401028277635
90.125,388,388,100.0,244,62.88659793814433
90.375,387,387,100.0,243,62.7906976744186
90.625,388,388,100.0,235,60.56701030927835
90.875,387,387,100.0,233,60.20671834625323
91.125,386,386,100.0,240,62.17616580310881
91.375,387,387,100.0,241,62.27390180878553
91.625,385,385,100.0,245,63.63636363636363
91.875,387,387,100.0,233,60.20671834625323
92.125,386,386,100.0,236,61.13989637305699
92.375,382,382,100.0,222,58.1151832460733
92.625,385,385,100.0,233,60.51948051948052
92.875,385,385,100.0,246,63.896103896103895
93.125,382,382,100.0,229,59.94764397905759
93.375,383,383,100.0,230,60.052219321148826
93.625,383,383,100.0,239,62.40208877284595
93.875,384,384,100.0,221,57.552083333333336
94.125,383,383,100.0,221,57.702349869451695
94.375,381,381,100.0,245,64.30446194225722
94.625,382,382,100.0,245,64.13612565445027
94.875,380,380,100.0,239,62.89473684210526
95.125,382,382,100.0,241,63.089005235602095
95.375,382,382,100.0,240,62.82722513089005
95.625,380,380,100.0,241,63.421052631578945
95.875,382,382,100.0,236,61.78010471204188
96.125,382,382,100.0,240,62.82722513089005
96.375,381,381,100.0,246,64.56692913385827
96.625,381,381,100.0,238,62.46719160104987
96.875,384,384,100.0,228,59.375
97.125,382,382,100.0,234,61.2565445026178
97.375,381,381,100.0,230,60.36745406824147
97.625,382,382,100.0,227,59.424083769633505
97.875,381,381,100.0,232,60.89238845144357
98.125,377,377,100.0,239,63.39522546419098
98.375,376,376,100.0,232,61.702127659574465
98.625,375,375,100.0,236,62.93333333333333
98.875,379,379,100.0,235,62.00527704485488
99.125,379,379,100.0,227,59.894459102902374
99.375,380,380,100.0,226,59.473684210526315
99.625,379,379,100.0,225,59.36675461741425
99.875,379,379,100.0,232,61.21372031662269
100.125,377,377,100.0,230,61.0079575596817
