energy_MeV_per_u,section_00_mass_xs_per_mm_at_1g_cm3,section_01_mass_xs_per_mm_at_1g_cm3,section_02_mass_xs_per_mm_at_1g_cm3,section_03_mass_xs_per_mm_at_1g_cm3,section_04_mass_xs_per_mm_at_1g_cm3,section_05_mass_xs_per_mm_at_1g_cm3,section_06_mass_xs_per_mm_at_1g_cm3,section_07_mass_xs_per_mm_at_1g_cm3,section_08_mass_xs_per_mm_at_1g_cm3,section_09_mass_xs_per_mm_at_1g_cm3,section_10_mass_xs_per_mm_at_1g_cm3,section_11_mass_xs_per_mm_at_1g_cm3,section_12_mass_xs_per_mm_at_1g_cm3,section_13_mass_xs_per_mm_at_1g_cm3,section_14_mass_xs_per_mm_at_1g_cm3,section_15_mass_xs_per_mm_at_1g_cm3,section_16_mass_xs_per_mm_at_1g_cm3,section_17_mass_xs_per_mm_at_1g_cm3,section_18_mass_xs_per_mm_at_1g_cm3,section_19_mass_xs_per_mm_at_1g_cm3,section_20_mass_xs_per_mm_at_1g_cm3,section_21_mass_xs_per_mm_at_1g_cm3,section_22_mass_xs_per_mm_at_1g_cm3,section_23_mass_xs_per_mm_at_1g_cm3,section_24_mass_xs_per_mm_at_1g_cm3
56,0.00498966,0.00691276,0.00763792,0.00748839,0.00733815,0.00722001,0.00712155,0.00693785,0.00681534,0.00692548,0.00673191,0.00651716,0.00632689,0.00616813,0.0060098,0.00585643,0.0057027,0.00557931,0.00547709,0.00535527,0.00525994,0.00516539,0.00507163,0.00500785,0.00285547
57,0.00496647,0.00686887,0.00758835,0.00744001,0.00729098,0.00717376,0.00707609,0.00689381,0.00677281,0.00688212,0.00669025,0.00647742,0.00628884,0.00613148,0.00597455,0.00582255,0.0056702,0.00554791,0.00544658,0.00532585,0.00523136,0.00513765,0.00504472,0.00498151,0.00284483
58,0.00494369,0.00682587,0.00753978,0.00739262,0.00724476,0.00712844,0.00703155,0.00685065,0.00673113,0.00683963,0.00664942,0.00643847,0.00625153,0.00609555,0.00593999,0.00578934,0.00563832,0.00551711,0.00541665,0.00529699,0.00520333,0.00511044,0.00501832,0.00495565,0.00283436
59,0.0049213,0.00678372,0.00749218,0.00734617,0.00719947,0.00708403,0.00698789,0.00680835,0.00669028,0.00679797,0.0066094,0.00640028,0.00621496,0.00606032,0.0059061,0.00575676,0.00560706,0.0054869,0.00538729,0.00526867,0.00517582,0.00508373,0.00499241,0.00493028,0.00282406
60,0.00489931,0.00674241,0.00744553,0.00730064,0.00715507,0.00704049,0.0069451,0.00676688,0.00665023,0.00675714,0.00657016,0.00636284,0.00617909,0.00602577,0.00587287,0.00572481,0.00557639,0.00545727,0.00535848,0.00524089,0.00514882,0.00505752,0.00496698,0.00490538,0.00281391
61,0.00487769,0.00670191,0.0073998,0.00725602,0.00711155,0.00699782,0.00690315,0.00672624,0.00661096,0.00671711,0.00653169,0.00632613,0.00614392,0.00599189,0.00584027,0.00569347,0.00554631,0.0054282,0.00533022,0.00521363,0.00512233,0.0050318,0.00494203,0.00488094,0.00280393
62,0.00485646,0.00666221,0.00735497,0.00721227,0.00706889,0.00695598,0.00686203,0.0066864,0.00657246,0.00667785,0.00649397,0.00629013,0.00610943,0.00595866,0.0058083,0.00566272,0.0055168,0.00539967,0.00530249,0.00518688,0.00509634,0.00500656,0.00491753,0.00485695,0.00279411
63,0.00483559,0.00662329,0.00731103,0.00716939,0.00702706,0.00691497,0.00682171,0.00664733,0.00653471,0.00663937,0.00645697,0.00625482,0.00607561,0.00592606,0.00577693,0.00563256,0.00548785,0.00537169,0.00527528,0.00516062,0.00507083,0.00498178,0.00489349,0.0048334,0.00278443
64,0.00481508,0.00658513,0.00726795,0.00712734,0.00698605,0.00687476,0.00678218,0.00660903,0.0064977,0.00660163,0.0064207,0.0062202,0.00604243,0.00589409,0.00574617,0.00560297,0.00545944,0.00534422,0.00524858,0.00513486,0.00504579,0.00495746,0.00486988,0.00481028,0.00277492
65,0.00479492,0.0065477,0.0072257,0.00708611,0.00694584,0.00683533,0.00674342,0.00657147,0.00646139,0.00656461,0.00638512,0.00618623,0.00600988,0.00586273,0.00571598,0.00557394,0.00543156,0.00531727,0.00522237,0.00510957,0.00502121,0.00493359,0.00484671,0.00478759,0.00276555
66,0.00477511,0.006511,0.00718428,0.00704568,0.00690641,0.00679666,0.00670541,0.00653464,0.00642579,0.00652831,0.00635022,0.00615292,0.00597795,0.00583195,0.00568636,0.00554545,0.0054042,0.00529082,0.00519666,0.00508475,0.00499708,0.00491015,0.00482396,0.0047653,0.00275633
67,0.00475564,0.00647501,0.00714365,0.00700603,0.00686774,0.00675874,0.00666813,0.00649851,0.00639086,0.00649271,0.00631599,0.00612023,0.00594663,0.00580176,0.0056573,0.0055175,0.00537735,0.00526486,0.00517141,0.00506039,0.0049734,0.00488715,0.00480163,0.00474342,0.00274726
68,0.00473651,0.00643971,0.00710381,0.00696715,0.00682982,0.00672154,0.00663157,0.00646308,0.00635661,0.00645778,0.00628241,0.00608817,0.00591589,0.00577214,0.00562879,0.00549007,0.00535101,0.00523939,0.00514663,0.00503647,0.00495015,0.00486456,0.0047797,0.00472194,0.00273833
69,0.0047177,0.00640509,0.00706474,0.00692901,0.00679262,0.00668507,0.00659571,0.00642833,0.006323,0.00642352,0.00624947,0.00605671,0.00588574,0.00574307,0.0056008,0.00546314,0.00532515,0.00521438,0.00512231,0.00501299,0.00492732,0.00484238,0.00475816,0.00470084,0.00272955
70,0.00469921,0.00637112,0.00702641,0.00689161,0.00675613,0.00664928,0.00656053,0.00639424,0.00629004,0.00638991,0.00621715,0.00602585,0.00585615,0.00571455,0.00557334,0.00543672,0.00529976,0.00518983,0.00509843,0.00498994,0.00490491,0.00482061,0.00473702,0.00468012,0.0027209
