# Interpolated TOPAS C-12 delta-electron fraction on the 0.01+0.1*n MeV/u stopping-power grid.
energy_MeVu,delta_electron_fraction
65.21,0.0578358427348
65.31,0.0579212676306
65.41,0.0580066925264
65.51,0.0580921174222
65.61,0.058177542318
65.71,0.0582629672138
65.81,0.0583483921096
65.91,0.0584338170054
66.01,0.058519164564
66.11,0.0586038160879
66.21,0.0586884676119
66.31,0.0587731191358
66.41,0.0588577706598
66.51,0.0589424221837
66.61,0.0590270737077
66.71,0.0591117252316
66.81,0.0591963767556
66.91,0.0592810282795
67.01,0.0593655478551
67.11,0.0594488798954
67.21,0.0595322119357
67.31,0.059615543976
67.41,0.0596988760163
67.51,0.0597822080566
67.61,0.0598655400969
67.71,0.0599488721372
67.81,0.0600322041775
67.91,0.0601155362178
68.01,0.0601987479247
68.11,0.060280876631
68.21,0.0603630053372
68.31,0.0604451340435
68.41,0.0605272627497
68.51,0.060609391456
68.61,0.0606915201622
68.71,0.0607736488685
68.81,0.0608557775747
68.91,0.060937906281
69.01,0.0610200008109
69.11,0.0611017877541
69.21,0.0611835746973
69.31,0.0612653616406
69.41,0.0613471485838
69.51,0.061428935527
69.61,0.0615107224702
69.71,0.0615925094134
69.81,0.0616742963566
69.91,0.0617560832998
70.01,0.0618373800311
70.11,0.0619142648552
70.21,0.0619911496793
70.31,0.0620680345034
70.41,0.0621449193275
70.51,0.0622218041516
70.61,0.0622986889757
70.71,0.0623755737998
70.81,0.0624524586239
70.91,0.062529343448
71.01,0.0626059727509
71.11,0.0626803023626
71.21,0.0627546319744
71.31,0.0628289615862
71.41,0.062903291198
71.51,0.0629776208097
71.61,0.0630519504215
71.71,0.0631262800333
71.81,0.063200609645
71.91,0.0632749392568
72.01,0.0633492506303
72.11,0.0634233978594
72.21,0.0634975450885
72.31,0.0635716923176
72.41,0.0636458395468
72.51,0.0637199867759
72.61,0.063794134005
72.71,0.0638682812341
72.81,0.0639424284632
72.91,0.0640165756923
73.01,0.0640906730847
73.11,0.0641643219472
73.21,0.0642379708097
73.31,0.0643116196722
73.41,0.0643852685347
73.51,0.0644589173972
73.61,0.0645325662597
73.71,0.0646062151222
73.81,0.0646798639847
73.91,0.0647535128472
74.01,0.0648271481431
74.11,0.0649006613403
74.21,0.0649741745375
74.31,0.0650476877347
74.41,0.0651212009319
74.51,0.0651947141291
74.61,0.0652682273263
74.71,0.0653417405234
74.81,0.0654152537206
74.91,0.0654887669178
75.01,0.0655622317284
75.11,0.0656352610592
75.21,0.0657082903901
75.31,0.0657813197209
75.41,0.0658543490518
75.51,0.0659273783826
75.61,0.0660004077135
75.71,0.0660734370443
75.81,0.0661464663752
75.91,0.066219495706
76.01,0.0662923342952
76.11,0.066363456209
76.21,0.0664345781229
76.31,0.0665057000368
76.41,0.0665768219506
76.51,0.0666479438645
76.61,0.0667190657783
76.71,0.0667901876922
76.81,0.0668613096061
76.91,0.0669324315199
77.01,0.0670039557511
77.11,0.0670791008383
77.21,0.0671542459254
77.31,0.0672293910126
77.41,0.0673045360997
77.51,0.0673796811869
77.61,0.067454826274
77.71,0.0675299713612
77.81,0.0676051164483
77.91,0.0676802615355
78.01,0.0677549520324
78.11,0.0678255512169
78.21,0.0678961504015
78.31,0.0679667495861
78.41,0.0680373487706
78.51,0.0681079479552
78.61,0.0681785471398
78.71,0.0682491463243
78.81,0.0683197455089
78.91,0.0683903446935
79.01,0.0684603955661
79.11,0.0685255116309
79.21,0.0685906276957
79.31,0.0686557437605
79.41,0.0687208598254
79.51,0.0687859758902
79.61,0.068851091955
79.71,0.0689162080198
79.81,0.0689813240846
79.91,0.0690464401495
80.01,0.0691112126744
80.11,0.0691728933399
80.21,0.0692345740055
80.31,0.0692962546711
80.41,0.0693579353367
80.51,0.0694196160023
80.61,0.0694812966679
80.71,0.0695429773335
80.81,0.0696046579991
80.91,0.0696663386647
81.01,0.0697275842332
81.11,0.069784913928
81.21,0.0698422436228
81.31,0.0698995733176
81.41,0.0699569030124
81.51,0.0700142327072
81.61,0.070071562402
81.71,0.0701288920968
81.81,0.0701862217916
81.91,0.0702435514864
82.01,0.0703014292
82.11,0.0703642390826
82.21,0.0704270489652
82.31,0.0704898588478
82.41,0.0705526687304
82.51,0.070615478613
82.61,0.0706782884956
82.71,0.0707410983782
82.81,0.0708039082608
82.91,0.0708667181435
83.01,0.0709297503522
83.11,0.070994783496
83.21,0.0710598166398
83.31,0.0711248497836
83.41,0.0711898829274
83.51,0.0712549160712
83.61,0.071319949215
83.71,0.0713849823589
83.81,0.0714500155027
83.91,0.0715150486465
84.01,0.0715799509358
84.11,0.071643675535
84.21,0.0717074001341
84.31,0.0717711247332
84.41,0.0718348493324
84.51,0.0718985739315
84.61,0.0719622985307
84.71,0.0720260231298
84.81,0.0720897477289
84.91,0.0721534723281
85.01,0.0722167448644
85.11,0.0722759488357
85.21,0.0723351528069
85.31,0.0723943567781
85.41,0.0724535607493
85.51,0.0725127647206
85.61,0.0725719686918
85.71,0.072631172663
85.81,0.0726903766343
85.91,0.0727495806055
86.01,0.0728080832107
86.11,0.0728602735218
86.21,0.0729124638329
86.31,0.072964654144
86.41,0.0730168444552
86.51,0.0730690347663
86.61,0.0731212250774
86.71,0.0731734153885
86.81,0.0732256056996
86.91,0.0732777960107
87.01,0.0733303747897
87.11,0.0733864497792
87.21,0.0734425247688
87.31,0.0734985997584
87.41,0.073554674748
87.51,0.0736107497376
87.61,0.0736668247272
87.71,0.0737228997168
87.81,0.0737789747064
87.91,0.073835049696
88.01,0.0738903340746
88.11,0.073938502955
88.21,0.0739866718353
88.31,0.0740348407156
88.41,0.074083009596
88.51,0.0741311784763
88.61,0.0741793473566
88.71,0.0742275162369
88.81,0.0742756851173
88.91,0.0743238539976
89.01,0.0743721952297
89.11,0.0744220876278
89.21,0.074471980026
89.31,0.0745218724241
89.41,0.0745717648222
89.51,0.0746216572203
89.61,0.0746715496184
89.71,0.0747214420166
89.81,0.0747713344147
89.91,0.0748212268128
90.01,0.0748719519659
90.11,0.0749301719135
90.21,0.0749883918612
90.31,0.0750466118089
90.41,0.0751048317565
90.51,0.0751630517042
90.61,0.0752212716519
90.71,0.0752794915996
90.81,0.0753377115472
90.91,0.0753959314949
91.01,0.0754539207635
91.11,0.0755098339209
91.21,0.0755657470783
91.31,0.0756216602357
91.41,0.0756775733931
91.51,0.0757334865505
91.61,0.0757893997079
91.71,0.0758453128653
91.81,0.0759012260227
91.91,0.0759571391801
92.01,0.0760126625506
92.11,0.0760646778388
92.21,0.0761166931269
92.31,0.076168708415
92.41,0.0762207237032
92.51,0.0762727389913
92.61,0.0763247542795
92.71,0.0763767695676
92.81,0.0764287848557
92.91,0.0764808001439
93.01,0.0765327024362
93.11,0.0765835877661
93.21,0.0766344730961
93.31,0.076685358426
93.41,0.076736243756
93.51,0.0767871290859
93.61,0.0768380144158
93.71,0.0768888997458
93.81,0.0769397850757
93.91,0.0769906704057
94.01,0.0770413156647
94.11,0.0770898002853
94.21,0.0771382849059
94.31,0.0771867695266
94.41,0.0772352541472
94.51,0.0772837387678
94.61,0.0773322233884
94.71,0.0773807080091
94.81,0.0774291926297
94.91,0.0774776772503
95.01,0.077526670861
95.11,0.0775802453821
95.21,0.0776338199033
95.31,0.0776873944244
95.41,0.0777409689455
95.51,0.0777945434666
95.61,0.0778481179877
95.71,0.0779016925089
95.81,0.07795526703
95.91,0.0780088415511
96.01,0.0780623835273
96.11,0.0781156325988
96.21,0.0781688816703
96.31,0.0782221307418
96.41,0.0782753798134
96.51,0.0783286288849
96.61,0.0783818779564
96.71,0.078435127028
96.81,0.0784883760995
96.91,0.078541625171
97.01,0.0785946820163
97.11,0.0786460088251
97.21,0.0786973356339
97.31,0.0787486624427
97.41,0.0787999892515
97.51,0.0788513160603
97.61,0.0789026428691
97.71,0.0789539696779
97.81,0.0790052964867
97.91,0.0790566232955
98.01,0.0791080400421
98.11,0.0791602662296
98.21,0.079212492417
98.31,0.0792647186045
98.41,0.0793169447919
98.51,0.0793691709793
98.61,0.0794213971668
98.71,0.0794736233542
98.81,0.0795258495417
98.91,0.0795780757291
99.01,0.0796301382577
99.11,0.0796807278565
99.21,0.0797313174553
99.31,0.0797819070541
99.41,0.079832496653
99.51,0.0798830862518
99.61,0.0799336758506
99.71,0.0799842654494
99.81,0.0800348550482
99.91,0.0800854446471
100.01,0.080135384373
100.11,0.0801794752428
100.21,0.0802235661126
100.31,0.0802676569824
100.41,0.0803117478523
100.51,0.0803558387221
100.61,0.0803999295919
100.71,0.0804440204617
100.81,0.0804881113315
100.91,0.0805322022014
101.01,0.0805767664321
101.11,0.0806255909106
101.21,0.0806744153892
101.31,0.0807232398678
101.41,0.0807720643463
101.51,0.0808208888249
101.61,0.0808697133035
101.71,0.080918537782
101.81,0.0809673622606
101.91,0.0810161867392
102.01,0.0810649359181
102.11,0.0811130074004
102.21,0.0811610788827
102.31,0.081209150365
102.41,0.0812572218473
102.51,0.0813052933296
102.61,0.0813533648119
102.71,0.0814014362942
102.81,0.0814495077764
102.91,0.0814975792587
103.01,0.0815451125011
103.11,0.0815878015837
103.21,0.0816304906663
103.31,0.081673179749
103.41,0.0817158688316
103.51,0.0817585579143
103.61,0.0818012469969
103.71,0.0818439360795
103.81,0.0818866251622
103.91,0.0819293142448
104.01,0.0819723494152
104.11,0.0820184993752
104.21,0.0820646493352
104.31,0.0821107992952
104.41,0.0821569492552
104.51,0.0822030992151
104.61,0.0822492491751
104.71,0.0822953991351
104.81,0.0823415490951
104.91,0.0823876990551
105.01,0.08243273494
105.11,0.0824677441486
105.21,0.0825027533572
105.31,0.0825377625659
105.41,0.0825727717745
105.51,0.0826077809832
105.61,0.0826427901918
105.71,0.0826777994004
105.81,0.0827128086091
105.91,0.0827478178177
106.01,0.0827841397253
106.11,0.082832275923
