# TOPAS 4.2.p3 / Geant4 11.3.2 Copper neutral macroscopic total cross sections.
pdg_id,energy_MeV,macroscopic_total_cross_section_per_mm,mean_free_path_mm
22,16.4059,0.0292948,34.1358
22,16.8526,0.0294162,33.9949
22,17.3114,0.0295424,33.8497
22,17.7828,0.0296731,33.7006
22,18.267,0.0298082,33.5478
22,18.7643,0.0299476,33.3916
22,19.2752,0.0300911,33.2324
22,19.8001,0.0302385,33.0704
22,20.3392,0.0303773,32.9193
22,20.893,0.0305271,32.7578
22,21.4618,0.0306793,32.5953
22,22.0462,0.0308339,32.4318
22,22.6464,0.0309908,32.2676
22,23.2631,0.03115,32.1028
22,23.8964,0.0313112,31.9374
22,24.5471,0.0314745,31.7717
22,25.2154,0.0316398,31.6057
22,25.902,0.0318071,31.4396
22,26.6073,0.0319761,31.2734
22,27.3317,0.0321469,31.1072
22,28.0759,0.0323194,30.9412
22,28.8403,0.0324934,30.7754
22,29.6256,0.0326691,30.61
22,30.4322,0.0328461,30.445
22,31.2608,0.0330246,30.2804
22,32.1119,0.0332044,30.1165
22,32.9863,0.0333855,29.9531
22,33.8844,0.0335677,29.7905
22,34.807,0.0337511,29.6287
22,35.7547,0.0339355,29.4676
22,36.7282,0.034121,29.3075
22,37.7282,0.0343073,29.1483
22,38.7555,0.0344946,28.9901
22,39.8107,0.0346826,28.8329
22,40.8947,0.0348714,28.6768
22,42.0081,0.0350609,28.5218
22,43.1519,0.035251,28.368
22,44.3268,0.0354417,28.2154
22,45.5337,0.0356328,28.064
22,46.7735,0.0358245,27.9139
22,48.047,0.0360166,27.765
22,49.3552,0.036209,27.6175
22,50.6991,0.0364017,27.4713
22,52.0795,0.0365946,27.3264
22,53.4975,0.0367878,27.1829
22,54.9541,0.0369811,27.0409
22,56.4504,0.0371744,26.9002
22,57.9874,0.0373679,26.7609
22,59.5662,0.0375613,26.6231
22,61.1881,0.0377547,26.4868
22,62.8541,0.037948,26.3519
22,64.5654,0.0381411,26.2184
22,66.3234,0.0383341,26.0864
22,68.1292,0.0385268,25.9559
22,69.9842,0.0387193,25.8269
22,71.8897,0.0389115,25.6994
22,73.8471,0.0391033,25.5733
22,75.8578,0.0392947,25.4487
22,77.9232,0.0394857,25.3256
22,80.0448,0.0396762,25.204
22,82.2243,0.0398662,25.0839
22,84.463,0.0400557,24.9653
22,86.7628,0.0402446,24.8481
22,89.1251,0.0404328,24.7324
22,91.5518,0.0406204,24.6181
22,94.0445,0.0408074,24.5054
22,96.6051,0.0409936,24.3941
22,99.2354,0.041179,24.2842
22,101.937,0.0413637,24.1758
22,104.713,0.0415476,24.0688
22,107.564,0.0417306,23.9632
22,110.493,0.0419128,23.8591
22,113.501,0.042094,23.7563
22,116.591,0.0422743,23.655
22,119.766,0.0424537,23.5551
22,123.027,0.0426321,23.4565
22,126.377,0.0428095,23.3593
22,129.818,0.0429858,23.2635
22,133.352,0.0431611,23.169
22,136.983,0.0433353,23.0759
22,140.713,0.0435084,22.9841
22,144.544,0.0436803,22.8936
22,148.48,0.0438511,22.8044
22,152.522,0.0440208,22.7166
22,156.675,0.0441892,22.63
22,160.941,0.0443564,22.5446
22,165.323,0.0445224,22.4606
22,169.824,0.0446872,22.3778
22,174.448,0.0448506,22.2962
22,179.198,0.0450128,22.2159
22,184.077,0.0451737,22.1368
22,189.089,0.0453333,22.0589
22,194.238,0.0454915,21.9821
22,199.526,0.0456483,21.9066
22,204.959,0.0458038,21.8322
22,210.539,0.045958,21.759
22,216.272,0.0461107,21.687
22,222.16,0.046262,21.616
22,228.209,0.0464119,21.5462
22,234.423,0.0465603,21.4775
22,240.806,0.0467073,21.4099
22,247.362,0.0468529,21.3434
22,254.097,0.0469969,21.278
22,261.016,0.0471395,21.2136
22,268.123,0.0472807,21.1503
22,275.423,0.0474203,21.088
22,282.922,0.0475584,21.0268
22,290.625,0.047695,20.9666
22,298.538,0.0478301,20.9074
22,306.667,0.0479636,20.8491
22,315.017,0.0480956,20.7919
22,323.594,0.0482261,20.7357
22,332.404,0.048355,20.6804
22,341.455,0.0484824,20.626
22,350.752,0.0486082,20.5727
22,360.302,0.0487325,20.5202
22,370.112,0.0488552,20.4687
22,380.189,0.0489763,20.4181
22,390.541,0.0490958,20.3683
22,401.174,0.0492138,20.3195
22,412.098,0.0493302,20.2716
22,423.318,0.049445,20.2245
22,434.844,0.0495582,20.1783
22,446.684,0.0496699,20.1329
22,458.846,0.04978,20.0884
22,471.339,0.0498884,20.0447
22,484.172,0.0499953,20.0019
22,497.355,0.0501007,19.9598
22,510.897,0.0502044,19.9186
22,524.807,0.0503066,19.8781
22,539.097,0.0504071,19.8385
22,553.775,0.0505061,19.7996
22,568.853,0.0506036,19.7615
22,584.341,0.0506994,19.7241
22,600.252,0.0507937,19.6875
22,616.595,0.0508864,19.6516
22,633.383,0.0509776,19.6165
22,650.629,0.0510672,19.582
22,668.344,0.0511552,19.5483
22,686.541,0.0512417,19.5153
22,705.234,0.0513267,19.4831
22,724.436,0.0514101,19.4514
22,744.161,0.0514919,19.4205
22,764.422,0.0515723,19.3903
22,785.236,0.0516511,19.3607
22,806.616,0.0517284,19.3317
22,828.578,0.0518042,19.3034
22,851.138,0.0518785,19.2758
22,874.312,0.0519513,19.2488
22,898.118,0.0520226,19.2224
22,922.571,0.0520925,19.1966
22,947.691,0.0521608,19.1715
22,973.494,0.0522277,19.1469
22,1000,0.0522932,19.123
2112,0.0001,0.0644813,15.5084
2112,0.000102723,0.06443,15.5207
2112,0.00010552,0.0643659,15.5362
2112,0.000108393,0.0643398,15.5425
2112,0.000111344,0.0642775,15.5576
2112,0.000114376,0.0642176,15.5721
2112,0.00011749,0.0641739,15.5827
2112,0.000120689,0.0640912,15.6028
2112,0.000123975,0.0640397,15.6153
