# TOPAS 4.2.p3 / Geant4 11.3.2 SchneiderSection07 ion electronic stopping powers.
# delta_electron_fraction preserves the measured C-12 correction and uses each ion's G4 restricted/unrestricted ratio relative to C-12.
atomic_number,mass_number,energy_MeVu,stopping_power_MeV_per_mm,restricted_stopping_power_MeV_per_mm,nuclear_stopping_power_MeV_per_mm,raw_delta_electron_fraction,delta_electron_fraction
1,1,36.21,1.61786,1.58011,0,0.0233321,0.0171188013182
1,1,36.31,1.61426,1.57631,0,0.0235102,0.0173084248409
1,1,36.41,1.61068,1.57252,0,0.0236876,0.0174979866002
1,1,36.51,1.60712,1.56876,0,0.0238643,0.0176874855331
1,1,36.61,1.60357,1.56502,0,0.0240404,0.017877067833
1,1,36.71,1.60004,1.5613,0,0.0242159,0.0180666608389
1,1,36.81,1.59653,1.55759,0,0.0243907,0.0182562627899
1,1,36.91,1.59304,1.55391,0,0.0245649,0.0184458012772
1,1,37.01,1.58957,1.55024,0,0.0247385,0.0186366158434
1,1,37.11,1.58611,1.5466,0,0.0249114,0.0188381759286
1,1,37.21,1.58267,1.54297,0,0.0250838,0.0190397504798
1,1,37.31,1.57925,1.53936,0,0.0252555,0.0192412615177
1,1,37.41,1.57584,1.53577,0,0.0254266,0.019442859376
1,1,37.51,1.57245,1.5322,0,0.0255972,0.0196444707231
1,1,37.61,1.56908,1.52865,0,0.0257671,0.0198460923858
1,1,37.71,1.56572,1.52511,0,0.0259364,0.0200476496383
1,1,37.81,1.56238,1.52159,0,0.0261051,0.0202492936661
1,1,37.91,1.55906,1.5181,0,0.0262733,0.0204509500136
1,1,38.01,1.55575,1.51461,0,0.0264408,0.0206532376311
1,1,38.11,1.55246,1.51115,0,0.0266078,0.0208619031957
1,1,38.21,1.54918,1.5077,0,0.0267742,0.021070580694
1,1,38.31,1.54592,1.50427,0,0.0269401,0.0212792712344
1,1,38.41,1.54268,1.50086,0,0.0271053,0.0214878938647
1,1,38.51,1.53945,1.49747,0,0.02727,0.0216966065824
1,1,38.61,1.53623,1.49409,0,0.0274341,0.0219052516723
1,1,38.71,1.53304,1.49073,0,0.0275977,0.0221139869053
1,1,38.81,1.52985,1.48738,0,0.0277607,0.0223227324746
1,1,38.91,1.52669,1.48406,0,0.0279231,0.0225314088166
1,1,39.01,1.52353,1.48074,0,0.028085,0.0227398114527
1,1,39.11,1.52039,1.47745,0,0.0282464,0.0229458246097
1,1,39.21,1.51727,1.47417,0,0.0284072,0.0231516867846
1,1,39.31,1.51416,1.47091,0,0.0285674,0.0233575569971
1,1,39.41,1.51107,1.46766,0,0.0287272,0.0235635184264
1,1,39.51,1.50799,1.46443,0,0.0288864,0.0237694880327
1,1,39.61,1.50492,1.46121,0,0.029045,0.0239753844221
1,1,39.71,1.50187,1.45801,0,0.0292031,0.0241812894329
1,1,39.81,1.49884,1.45483,0,0.0293607,0.0243872028831
1,1,39.91,1.49581,1.45166,0,0.0295178,0.024593206589
1,1,40.01,1.4928,1.44851,0,0.0296744,0.0247987790382
1,1,40.11,1.48981,1.44537,0,0.0298304,0.0250003168667
1,1,40.21,1.48683,1.44224,0,0.029986,0.0252019456721
1,1,40.31,1.48386,1.43914,0,0.030141,0.0254034974555
1,1,40.41,1.48091,1.43604,0,0.0302955,0.0256050558844
1,1,40.51,1.47797,1.43296,0,0.0304495,0.0258066208215
1,1,40.61,1.47504,1.4299,0,0.030603,0.0260082758255
1,1,40.71,1.47212,1.42685,0,0.0307561,0.0262099388365
1,1,40.81,1.46922,1.42381,0,0.0309086,0.0264115229762
