energy_MeV_per_u,water_macroscopic_cross_section_per_mm
9.13,0.00555346
9.14,0.00555195
9.15,0.00555044
9.16,0.00554893
9.17,0.00554742
9.18,0.00554592
9.19,0.00554441
9.2,0.00554291
9.21,0.00554142
9.22,0.00553992
9.23,0.00553843
9.24,0.00553693
9.25,0.00553544
9.26,0.00553396
9.27,0.00553247
9.28,0.00553099
9.29,0.00552951
9.3,0.00552803
9.31,0.00552655
9.32,0.00552508
9.33,0.0055236
9.34,0.00552213
9.35,0.00552066
9.36,0.0055192
9.37,0.00551773
9.38,0.00551627
9.39,0.00551481
9.4,0.00551335
9.41,0.00551189
9.42,0.00551044
9.43,0.00550899
9.44,0.00550754
9.45,0.00550609
9.46,0.00550464
9.47,0.0055032
9.48,0.00550175
9.49,0.00550031
9.5,0.00549888
9.51,0.00549744
9.52,0.00549601
9.53,0.00549457
9.54,0.00549314
9.55,0.00549171
9.56,0.00549029
9.57,0.00548886
9.58,0.00548744
9.59,0.00548602
9.6,0.0054846
9.61,0.00548319
9.62,0.00548177
9.63,0.00548036
9.64,0.00547895
9.65,0.00547754
9.66,0.00547613
9.67,0.00547473
9.68,0.00547333
9.69,0.00547193
9.7,0.00547053
9.71,0.00546913
9.72,0.00546774
9.73,0.00546634
9.74,0.00546495
9.75,0.00546356
9.76,0.00546218
9.77,0.00546079
9.78,0.00545941
9.79,0.00545803
9.8,0.00545665
9.81,0.00545527
9.82,0.00545389
9.83,0.00545252
9.84,0.00545115
9.85,0.00544978
9.86,0.00544841
9.87,0.00544704
9.88,0.00544568
9.89,0.00544432
9.9,0.00544296
9.91,0.0054416
9.92,0.00544024
9.93,0.00543889
9.94,0.00543753
9.95,0.00543618
9.96,0.00543483
9.97,0.00543348
9.98,0.00543214
9.99,0.00543079
10,0.00542945
10.01,0.00542811
10.02,0.00542677
10.03,0.00542544
10.04,0.0054241
10.05,0.00542277
10.06,0.00542144
10.07,0.00542011
10.08,0.00541878
10.09,0.00541746
10.1,0.00541613
10.11,0.00541481
10.12,0.00541349
10.13,0.00541217
10.14,0.00541086
10.15,0.00540954
10.16,0.00540823
10.17,0.00540692
10.18,0.00540561
10.19,0.0054043
10.2,0.00540299
10.21,0.00540169
10.22,0.00540039
10.23,0.00539909
10.24,0.00539779
10.25,0.00539649
10.26,0.0053952
10.27,0.0053939
10.28,0.00539261
10.29,0.00539132
10.3,0.00539003
10.31,0.00538875
10.32,0.00538746
10.33,0.00538618
10.34,0.0053849
10.35,0.00538362
10.36,0.00538234
10.37,0.00538106
10.38,0.00537979
10.39,0.00537851
10.4,0.00537724
10.41,0.00537597
10.42,0.00537471
10.43,0.00537344
10.44,0.00537218
10.45,0.00537091
10.46,0.00536965
10.47,0.00536839
10.48,0.00536714
10.49,0.00536588
10.5,0.00536463
10.51,0.00536338
10.52,0.00536212
10.53,0.00536088
10.54,0.00535963
10.55,0.00535838
10.56,0.00535714
10.57,0.0053559
10.58,0.00535466
10.59,0.00535342
10.6,0.00535218
10.61,0.00535094
10.62,0.00534971
10.63,0.00534848
10.64,0.00534725
10.65,0.00534602
10.66,0.00534479
10.67,0.00534356
10.68,0.00534234
10.69,0.00534112
10.7,0.0053399
10.71,0.00533868
10.72,0.00533746
10.73,0.00533624
10.74,0.00533503
10.75,0.00533381
10.76,0.0053326
10.77,0.00533139
10.78,0.00533019
10.79,0.00532898
10.8,0.00532777
10.81,0.00532657
10.82,0.00532537
10.83,0.00532417
10.84,0.00532297
10.85,0.00532177
10.86,0.00532058
10.87,0.00531938
10.88,0.00531819
10.89,0.005317
10.9,0.00531581
10.91,0.00531462
10.92,0.00531344
10.93,0.00531225
10.94,0.00531107
10.95,0.00530989
10.96,0.00530871
10.97,0.00530753
10.98,0.00530636
10.99,0.00530518
11,0.00530401
11.01,0.00530284
11.02,0.00530166
11.03,0.0053005
11.04,0.00529933
11.05,0.00529816
11.06,0.005297
11.07,0.00529584
11.08,0.00529467
11.09,0.00529351
11.1,0.00529236
11.11,0.0052912
11.12,0.00529004
11.13,0.00528889
11.14,0.00528774
11.15,0.00528659
11.16,0.00528544
11.17,0.00528429
11.18,0.00528314
11.19,0.005282
11.2,0.00528086
11.21,0.00527971
11.22,0.00527857
11.23,0.00527743
11.24,0.0052763
11.25,0.00527516
11.26,0.00527403
11.27,0.00527289
11.28,0.00527176
11.29,0.00527063
11.3,0.0052695
11.31,0.00526838
11.32,0.00526725
11.33,0.00526613
11.34,0.005265
11.35,0.00526388
11.36,0.00526276
11.37,0.00526164
11.38,0.00526053
11.39,0.00525941
11.4,0.0052583
11.41,0.00525719
11.42,0.00525607
11.43,0.00525496
11.44,0.00525386
11.45,0.00525275
11.46,0.00525164
11.47,0.00525054
11.48,0.00524944
11.49,0.00524834
11.5,0.00524724
11.51,0.00524614
11.52,0.00524504
11.53,0.00524394
11.54,0.00524285
11.55,0.00524176
11.56,0.00524067
11.57,0.00523958
11.58,0.00523849
11.59,0.0052374
11.6,0.00523631
11.61,0.00523523
11.62,0.00523415
11.63,0.00523306
11.64,0.00523198
11.65,0.0052309
11.66,0.00522983
11.67,0.00522875
11.68,0.00522768
11.69,0.0052266
11.7,0.00522553
11.71,0.00522446
11.72,0.00522339
11.73,0.00522232
11.74,0.00522126
11.75,0.00522019
11.76,0.00521913
11.77,0.00521806
11.78,0.005217
11.79,0.00521594
11.8,0.00521488
11.81,0.00521383
11.82,0.00521277
