energy_MeVu,total_kinetic_energy_MeV,electronic_stopping_power_MeV_per_mm,total_stopping_power_MeV_per_mm,csda_range_mm
24.61,295.32,134.778,134.845,0
24.71,296.52,134.34,134.406,0
24.81,297.72,133.905,133.971,0
24.91,298.92,133.473,133.538,0
25.01,300.12,133.044,133.109,0
25.11,301.32,132.618,132.683,0
25.21,302.52,132.195,132.26,0
25.31,303.72,131.775,131.84,0
25.41,304.92,131.359,131.423,0
25.51,306.12,130.945,131.009,0
25.61,307.32,130.534,130.598,0
25.71,308.52,130.126,130.19,0
25.81,309.72,129.721,129.784,0
25.91,310.92,129.319,129.382,0
26.01,312.12,128.919,128.982,0
26.11,313.32,128.522,128.585,0
26.21,314.52,128.128,128.191,0
26.31,315.72,127.737,127.799,0
26.41,316.92,127.348,127.41,0
26.51,318.12,126.962,127.024,0
26.61,319.32,126.579,126.641,0
26.71,320.52,126.198,126.26,0
26.81,321.72,125.82,125.881,0
26.91,322.92,125.445,125.505,0
27.01,324.12,125.071,125.132,0
27.11,325.32,124.701,124.761,0
27.21,326.52,124.333,124.393,0
27.31,327.72,123.967,124.027,0
27.41,328.92,123.604,123.663,0
27.51,330.12,123.243,123.302,0
27.61,331.32,122.884,122.944,0
27.71,332.52,122.528,122.587,0
27.81,333.72,122.174,122.233,0
27.91,334.92,121.823,121.881,0
28.01,336.12,121.474,121.532,0
28.11,337.32,121.127,121.185,0
28.21,338.52,120.782,120.84,0
28.31,339.72,120.439,120.497,0
28.41,340.92,120.099,120.157,0
28.51,342.12,119.761,119.818,0
28.61,343.32,119.424,119.482,0
28.71,344.52,119.09,119.148,0
28.81,345.72,118.759,118.816,0
28.91,346.92,118.429,118.486,0
29.01,348.12,118.101,118.158,0
29.11,349.32,117.776,117.832,0
29.21,350.52,117.452,117.508,0
29.31,351.72,117.13,117.186,0
29.41,352.92,116.811,116.867,0
29.51,354.12,116.493,116.549,0
29.61,355.32,116.177,116.233,0
29.71,356.52,115.863,115.919,0
29.81,357.72,115.552,115.607,0
29.91,358.92,115.242,115.297,0
30.01,360.12,114.934,114.989,0
30.11,361.32,114.627,114.682,0
30.21,362.52,114.323,114.378,0
30.31,363.72,114.02,114.075,0
30.41,364.92,113.72,113.774,0
30.51,366.12,113.421,113.475,0
30.61,367.32,113.123,113.177,0
30.71,368.52,112.828,112.882,0
30.81,369.72,112.534,112.588,0
30.91,370.92,112.242,112.296,0
31.01,372.12,111.952,112.005,0
31.11,373.32,111.663,111.717,0
31.21,374.52,111.377,111.43,0
31.31,375.72,111.091,111.144,0
31.41,376.92,110.808,110.861,0
31.51,378.12,110.526,110.579,0
31.61,379.32,110.246,110.298,0
