# TOPAS 4.2.p3 / Geant4 11.3.2 Water_75eV ion electronic stopping powers.
# delta_electron_fraction preserves the measured C-12 correction and uses each ion's G4 restricted/unrestricted ratio relative to C-12.
atomic_number,mass_number,energy_MeVu,stopping_power_MeV_per_mm,restricted_stopping_power_MeV_per_mm,nuclear_stopping_power_MeV_per_mm,raw_delta_electron_fraction,delta_electron_fraction
1,1,37.71,1.56233,1.52184,0,0.0259151,0.020042867386
1,1,37.81,1.559,1.51833,0,0.0260857,0.0202444472665
1,1,37.91,1.55569,1.51484,0,0.0262558,0.0204461917074
1,1,38.01,1.55239,1.51137,0,0.0264252,0.0206484909363
1,1,38.11,1.54911,1.50791,0,0.0265941,0.0208571666013
1,1,38.21,1.54584,1.50447,0,0.0267623,0.0210657754033
1,1,38.31,1.54259,1.50105,0,0.02693,0.0212744742024
1,1,38.41,1.53936,1.49765,0,0.0270972,0.0214831857
1,1,38.51,1.53614,1.49426,0,0.0272637,0.0216919068141
1,1,38.61,1.53294,1.49089,0,0.0274297,0.0219006400899
1,1,38.71,1.52975,1.48753,0,0.0275951,0.0221093051402
1,1,38.81,1.52657,1.4842,0,0.0277599,0.0223180588994
1,1,38.91,1.52342,1.48088,0,0.0279242,0.0225268240633
1,1,39.01,1.52027,1.47757,0,0.0280879,0.0227352351308
1,1,39.11,1.51714,1.47428,0,0.0282511,0.0229411772526
1,1,39.21,1.51403,1.47101,0,0.0284137,0.0231471280591
1,1,39.31,1.51093,1.46776,0,0.0285757,0.0233530069912
1,1,39.41,1.50785,1.46452,0,0.0287372,0.0235588950511
1,1,39.51,1.50478,1.46129,0,0.0288982,0.0237648729241
1,1,39.61,1.50172,1.45808,0,0.0290586,0.0239707775628
1,1,39.71,1.49868,1.45489,0,0.0292185,0.0241767721602
1,1,39.81,1.49565,1.45171,0,0.0293779,0.0243827756476
1,1,39.91,1.49264,1.44855,0,0.0295367,0.0245887045958
1,1,40.01,1.48964,1.4454,0,0.0296951,0.0247942852911
1,1,40.11,1.48665,1.44227,0,0.0298528,0.0249958307525
1,1,40.21,1.48368,1.43916,0,0.0300101,0.0251974670384
1,1,40.31,1.48072,1.43605,0,0.0301669,0.0253991105062
1,1,40.41,1.47778,1.43297,0,0.0303231,0.0256006765862
1,1,40.51,1.47485,1.42989,0,0.0304788,0.025802249105
1,1,40.61,1.47193,1.42684,0,0.030634,0.0260038279296
1,1,40.71,1.46902,1.42379,0,0.0307887,0.0262054967413
1,1,40.81,1.46613,1.42076,0,0.0309429,0.0264070880215
1,1,40.91,1.46325,1.41775,0,0.0310967,0.0266087707935
1,1,41.01,1.46039,1.41475,0,0.0312499,0.0268098897907
1,1,41.11,1.45753,1.41176,0,0.0314026,0.0270058110067
1,1,41.21,1.45469,1.40879,0,0.0315548,0.0272017368293
1,1,41.31,1.45187,1.40583,0,0.0317065,0.0273976671635
1,1,41.41,1.44905,1.40289,0,0.0318578,0.0275936885321
1,1,41.51,1.44625,1.39996,0,0.0320086,0.0277897146377
1,1,41.61,1.44346,1.39704,0,0.0321589,0.0279856596318
1,1,41.71,1.44068,1.39413,0,0.0323087,0.0281816087705
1,1,41.81,1.43792,1.39124,0,0.032458,0.0283775619695
