depth_mm,ROI,gpu,topas,gpu_SE,topas_SE,difference_percent,CI95_low_percent,CI95_high_percent
37.125,peak,2.7661747481033673e-10,2.759951769348845e-10,1.1546239005127153e-12,7.038417540806163e-13,0.22547418486196236,-1.037372295632143,1.4883206653560677
37.375,peak,2.7622964239526487e-10,2.755862476533366e-10,1.259387671460024e-12,9.461640145927829e-13,0.23346402347972361,-1.1926421199478388,1.659570166907286
37.625,peak,2.7581479116634e-10,2.7518275146576345e-10,9.224326034519081e-13,8.166302931805277e-13,0.22967998437766202,-0.8706672938137303,1.3300272625690543
37.875,peak,2.7582637699197225e-10,2.747068447206402e-10,9.08256305871609e-13,9.404470217632606e-13,0.40753708647869313,-0.7599221418668433,1.5749963148242296
38.125,peak,2.750796807049483e-10,2.745425035755034e-10,1.0361073334720834e-12,8.428218778974188e-13,0.1956626469304279,-1.0075062557781065,1.3988315496389623
38.375,peak,2.7518115985003533e-10,2.748269912444812e-10,8.66206640370936e-13,7.882344668632287e-13,0.12886965867158207,-0.9166622707018455,1.1744015880450096
38.625,peak,2.7470298050502606e-10,2.747784753864835e-10,1.1755062597681778e-12,1.1437176143851072e-12,-0.027474816341144237,-1.4880594793792679,1.4331098466969794
38.875,peak,2.7477958155941454e-10,2.7405473588260063e-10,1.113311482867294e-12,1.0776485919567921e-12,0.2644893818307903,-1.1210147809564281,1.6499935446180087
39.125,peak,2.741640867043316e-10,2.740952652402484e-10,1.123259840447461e-12,1.0798339661426608e-12,0.02510859281821265,-1.366550757452464,1.4167679430888893
39.375,peak,2.7381140853321995e-10,2.739716990163288e-10,9.676816267516593e-13,1.177818332565907e-12,-0.05850621932278477,-1.4319163526238352,1.3149039139782657
39.625,peak,2.7391595722292547e-10,2.730211076595879e-10,9.489154252724964e-13,1.0277139796444327e-12,0.3277583813971363,-0.9302066282247251,1.5857233910189978
39.875,peak,2.7343887268216345e-10,2.721621478940506e-10,5.28733488634803e-13,1.1408274484959304e-12,0.4691044651109477,-0.7923654213797325,1.730574351601628
40.125,peak,2.7349522497388535e-10,2.727207436237222e-10,9.006797988969576e-13,1.073077217040923e-12,0.28398329363303887,-0.9846219081965806,1.5525884954626583
40.375,peak,2.7311803023621905e-10,2.7249395202488817e-10,9.870347121623705e-13,1.0641661824360586e-12,0.22902461015863462,-1.0778282152556917,1.535877435572961
40.625,peak,2.726632442318078e-10,2.724847786339524e-10,1.1062024820691632e-12,1.3989471457479047e-12,0.06549562098481232,-1.5576860483808543,1.688677290350479
40.875,peak,2.722098406593432e-10,2.7217248089073113e-10,1.1821735287956637e-12,1.5943014310137375e-12,0.013726504784683513,-1.8079773765758083,1.8354303861451753
41.125,peak,2.72016873168468e-10,2.7210167104385614e-10,1.1703836318672092e-12,1.2695471411492453e-12,-0.03116404065540701,-1.5861382920269043,1.5238102107160902
41.375,peak,2.7224170935369334e-10,2.7214343390369323e-10,1.2191863597469762e-12,1.5065889351538386e-12,0.03611163737828882,-1.7254685073509468,1.7976917821075244
41.625,peak,2.713689343636361e-10,2.719152951158321e-10,1.2150207663901458e-12,1.3372347295176359e-12,-0.20093049637509575,-1.828483959785224,1.4266229670350326
41.875,peak,2.7127972089147076e-10,2.7133752041663684e-10,1.3854732904597332e-12,1.3143213866273745e-12,-0.02130170758446459,-1.7444619469678875,1.7018585317989583
42.125,peak,2.7115007128486465e-10,2.7088394062957375e-10,1.6313226928839143e-12,1.621490906749466e-12,0.0982452686830948,-1.9804746392727397,2.1769651766389293
42.375,peak,2.71236858679913e-10,2.70393372829858e-10,1.5711355152360046e-12,1.4777562659131728e-12,0.3119476787568187,-1.6443920194239707,2.268287376937608
42.625,peak,2.712067089305492e-10,2.696503702281916e-10,1.526873421311622e-12,1.4831012079416038e-12,0.5771691323993133,-1.3600792447850432,2.51441750958367
