energy_MeV_per_u,section_00_mass_xs_per_mm_at_1g_cm3,section_01_mass_xs_per_mm_at_1g_cm3,section_02_mass_xs_per_mm_at_1g_cm3,section_03_mass_xs_per_mm_at_1g_cm3,section_04_mass_xs_per_mm_at_1g_cm3,section_05_mass_xs_per_mm_at_1g_cm3,section_06_mass_xs_per_mm_at_1g_cm3,section_07_mass_xs_per_mm_at_1g_cm3,section_08_mass_xs_per_mm_at_1g_cm3,section_09_mass_xs_per_mm_at_1g_cm3,section_10_mass_xs_per_mm_at_1g_cm3,section_11_mass_xs_per_mm_at_1g_cm3,section_12_mass_xs_per_mm_at_1g_cm3,section_13_mass_xs_per_mm_at_1g_cm3,section_14_mass_xs_per_mm_at_1g_cm3,section_15_mass_xs_per_mm_at_1g_cm3,section_16_mass_xs_per_mm_at_1g_cm3,section_17_mass_xs_per_mm_at_1g_cm3,section_18_mass_xs_per_mm_at_1g_cm3,section_19_mass_xs_per_mm_at_1g_cm3,section_20_mass_xs_per_mm_at_1g_cm3,section_21_mass_xs_per_mm_at_1g_cm3,section_22_mass_xs_per_mm_at_1g_cm3,section_23_mass_xs_per_mm_at_1g_cm3,section_24_mass_xs_per_mm_at_1g_cm3
17.5,6.3011208155e-03,9.6643021572e-03,1.0762227568e-02,1.0533653982e-02,1.0304230980e-02,1.0126048070e-02,9.9754300275e-03,9.6992751198e-03,9.4691764498e-03,9.6318921842e-03,9.3232314370e-03,8.9784340401e-03,8.6743342611e-03,8.4206196754e-03,8.1675211609e-03,7.9212684270e-03,7.6745363364e-03,7.4765686326e-03,7.3147375785e-03,7.1189594763e-03,6.9666255028e-03,6.8153863301e-03,6.6652419582e-03,6.5633826163e-03,3.3815230583e-03
18,6.2781009915e-03,9.6070192223e-03,1.0696585712e-02,1.0469793235e-02,1.0242155166e-02,1.0065315101e-02,9.9158735414e-03,9.6417831098e-03,9.4142930358e-03,9.5758878899e-03,9.2698932834e-03,8.9281153581e-03,8.6266545935e-03,8.3751415902e-03,8.1242403868e-03,7.8801444435e-03,7.6355714703e-03,7.4393348780e-03,7.2788816044e-03,7.0848214790e-03,6.9338088516e-03,6.7838844577e-03,6.6350482972e-03,6.5340714876e-03,3.3753944090e-03
18.5,6.2551431818e-03,9.5506474247e-03,1.0632034576e-02,1.0406984447e-02,1.0181092433e-02,1.0005566579e-02,9.8572758278e-03,9.5852060230e-03,9.3602572524e-03,9.5207514358e-03,9.2173605608e-03,8.8785310839e-03,8.5796474649e-03,8.3302844111e-03,8.0815289920e-03,7.8395390926e-03,7.5970744629e-03,7.4025282902e-03,7.2434207194e-03,7.0510381142e-03,6.9013158657e-03,6.7526754009e-03,6.6051167198e-03,6.5050017654e-03,3.3689992765e-03
19,6.2322700400e-03,9.4951679131e-03,1.0568547729e-02,1.0345202851e-02,1.0121019681e-02,9.9467805992e-03,9.7996160856e-03,9.5295248834e-03,9.3070535284e-03,9.4664666211e-03,9.1656199720e-03,8.8296712386e-03,8.5333057785e-03,8.2860434478e-03,8.0393846871e-03,7.7994524567e-03,7.5590477685e-03,7.3661532236e-03,7.2083607629e-03,7.0176171137e-03,6.8691557189e-03,6.7217697719e-03,6.5754592727e-03,6.4761864590e-03,3.3623728250e-03
19.5,6.2095006837e-03,9.4405614962e-03,1.0506098900e-02,1.0284423721e-02,1.0061913742e-02,9.8889351137e-03,9.7428732970e-03,9.4747203802e-03,9.2546656872e-03,9.4130166634e-03,9.1146574247e-03,8.7815248038e-03,8.4876211863e-03,8.2424125818e-03,7.9978035783e-03,7.7598828391e-03,7.5214918870e-03,7.3302119383e-03,7.1737053719e-03,6.9845638674e-03,6.8373351373e-03,6.6911756292e-03,6.5460853433e-03,6.4476358478e-03,3.3555459742e-03
20,6.1868512247e-03,9.3868088463e-03,1.0444662136e-02,1.0224622556e-02,1.0003751565e-02,9.8320081202e-03,9.6870264212e-03,9.4207730715e-03,9.2030771796e-03,9.3603844301e-03,9.0644582849e-03,8.7340799986e-03,8.4425843865e-03,8.1993845813e-03,7.9567804990e-03,7.7208271124e-03,7.4844057307e-03,7.2947049802e-03,7.1394563709e-03,6.9518818268e-03,6.8058588128e-03,6.6608989020e-03,6.5170020944e-03,6.4193579228e-03,3.3485459772e-03
20.5,6.1643352132e-03,9.3338906584e-03,1.0384211927e-02,1.0165775196e-02,9.9465103539e-03,9.7759778047e-03,9.6320545440e-03,9.3676635429e-03,9.1522712661e-03,9.3085526222e-03,9.0150075774e-03,8.6873245015e-03,8.3981853639e-03,8.1569513567e-03,7.9163092807e-03,7.6822810048e-03,7.4477869242e-03,7.2596314937e-03,7.1056140944e-03,6.9195728392e-03,6.7747297470e-03,6.6309437425e-03,6.4882148256e-03,6.3913587541e-03,3.3413969090e-03
21,6.1419640110e-03,9.2817877724e-03,1.0324723287e-02,1.0107857928e-02,9.8901676690e-03,9.7208226510e-03,9.5779369923e-03,9.3153725299e-03,9.1022311622e-03,9.2575039176e-03,8.9662901465e-03,8.6412456292e-03,8.3544135847e-03,8.1151041686e-03,7.8763829745e-03,7.6442393343e-03,7.4116320531e-03,7.2249894802e-03,7.0721776536e-03,6.8876374253e-03,6.7439495362e-03,6.6013128194e-03,6.4597272748e-03,6.3636427975e-03,3.3341200817e-03
21.5,6.1197471070e-03,9.2304812678e-03,1.0266171825e-02,1.0050847551e-02,9.8347015064e-03,9.6665215228e-03,9.5246534211e-03,9.2638810124e-03,9.0529401506e-03,9.2072210837e-03,8.9182907820e-03,8.5958304796e-03,8.3112581535e-03,8.0738337968e-03,7.8369940318e-03,7.6066962020e-03,7.3759368679e-03,7.1907760123e-03,7.0391451573e-03,6.8560750097e-03,6.7135186091e-03,6.5720075625e-03,6.4315418699e-03,6.3362131515e-03,3.3267343975e-03
22,6.0976923829e-03,9.1799525353e-03,1.0208533783e-02,9.9947214273e-03,9.7800903537e-03,9.6130537243e-03,9.4721838784e-03,9.2131702857e-03,9.0043816699e-03,9.1576870652e-03,8.8709943202e-03,8.5510660469e-03,8.2687079410e-03,8.0331306788e-03,7.7981344533e-03,7.5696451506e-03,7.3406964542e-03,7.1569874111e-03,7.0065138964e-03,6.8248841134e-03,6.6834364257e-03,6.5430283681e-03,6.4036599405e-03,6.3090717725e-03,3.3192566517e-03
