energy_MeV_per_u,section_00_mass_xs_per_mm_at_1g_cm3,section_01_mass_xs_per_mm_at_1g_cm3,section_02_mass_xs_per_mm_at_1g_cm3,section_03_mass_xs_per_mm_at_1g_cm3,section_04_mass_xs_per_mm_at_1g_cm3,section_05_mass_xs_per_mm_at_1g_cm3,section_06_mass_xs_per_mm_at_1g_cm3,section_07_mass_xs_per_mm_at_1g_cm3,section_08_mass_xs_per_mm_at_1g_cm3,section_09_mass_xs_per_mm_at_1g_cm3,section_10_mass_xs_per_mm_at_1g_cm3,section_11_mass_xs_per_mm_at_1g_cm3,section_12_mass_xs_per_mm_at_1g_cm3,section_13_mass_xs_per_mm_at_1g_cm3,section_14_mass_xs_per_mm_at_1g_cm3,section_15_mass_xs_per_mm_at_1g_cm3,section_16_mass_xs_per_mm_at_1g_cm3,section_17_mass_xs_per_mm_at_1g_cm3,section_18_mass_xs_per_mm_at_1g_cm3,section_19_mass_xs_per_mm_at_1g_cm3,section_20_mass_xs_per_mm_at_1g_cm3,section_21_mass_xs_per_mm_at_1g_cm3,section_22_mass_xs_per_mm_at_1g_cm3,section_23_mass_xs_per_mm_at_1g_cm3,section_24_mass_xs_per_mm_at_1g_cm3
15.100000,6.481968416200e-03,8.574757783460e-03,9.483781327997e-03,9.297851292225e-03,9.110921449141e-03,8.962316499399e-03,8.839970247525e-03,8.608340906249e-03,8.486276560902e-03,8.626506207042e-03,8.394576502126e-03,8.138978975219e-03,7.911529481157e-03,7.721689689677e-03,7.532449687109e-03,7.349897965961e-03,7.166873173096e-03,7.019912844194e-03,6.896620337274e-03,6.751754519942e-03,6.637767938859e-03,6.524828613567e-03,6.412936544054e-03,6.336635866788e-03,3.594420713450e-03
15.600000,6.445007283554e-03,8.495141486764e-03,9.392445019593e-03,9.208987227545e-03,9.024535875900e-03,8.877823079450e-03,8.757107925063e-03,8.528396155870e-03,8.409454414169e-03,8.548036012388e-03,8.319645642063e-03,8.068034090478e-03,7.844081215856e-03,7.657159018931e-03,7.470829945587e-03,7.291125373316e-03,7.110951433100e-03,6.966277750758e-03,6.844825249666e-03,6.702225453433e-03,6.589990057221e-03,6.478791604059e-03,6.368630093939e-03,6.293499473752e-03,3.584118510970e-03
16.100000,6.408229252224e-03,8.417075591937e-03,9.302970707057e-03,9.121918396044e-03,8.939878558144e-03,8.795008039899e-03,8.675879799879e-03,8.450009066869e-03,8.334083711692e-03,8.471054080879e-03,8.246098781593e-03,7.998354956217e-03,7.777795462007e-03,7.593704689384e-03,7.410200571299e-03,7.233258657957e-03,7.055851025260e-03,6.913396214207e-03,6.793729929254e-03,6.653328830601e-03,6.542792936114e-03,6.433283897817e-03,6.324801715740e-03,6.250806635944e-03,3.573374522890e-03
16.600000,6.371674479670e-03,8.340523068539e-03,9.215305996508e-03,9.036595737102e-03,8.856903784494e-03,8.713828109167e-03,8.596244813776e-03,8.373142310551e-03,8.260133335833e-03,8.395527899119e-03,8.173909027759e-03,7.929921077929e-03,7.712657296571e-03,7.531316430856e-03,7.350555935081e-03,7.176296764141e-03,7.001575467591e-03,6.861275417731e-03,6.743344446351e-03,6.605078368800e-03,6.496193081152e-03,6.388324779635e-03,6.281473464277e-03,6.208581269998e-03,3.562257861120e-03
17.100000,6.335375519255e-03,8.265446029551e-03,9.129398801150e-03,8.952970240882e-03,8.775565636337e-03,8.634239625478e-03,8.518161347482e-03,8.297757718725e-03,8.187570769201e-03,8.321423621048e-03,8.103047684990e-03,7.862709621531e-03,7.648648990557e-03,7.469980777591e-03,7.291886823506e-03,7.120234667975e-03,6.948123926164e-03,6.809917885189e-03,6.693673971625e-03,6.557482579179e-03,6.450201558469e-03,6.343927862019e-03,6.238661489828e-03,6.166841232197e-03,3.550828013860e-03
17.600000,6.299358641617e-03,8.191806268684e-03,9.045197763432e-03,8.870993396317e-03,8.695818461957e-03,8.556199028823e-03,8.441587729987e-03,8.223816820031e-03,8.116362698066e-03,8.248706669527e-03,8.033484908915e-03,7.796696126924e-03,7.585750774462e-03,7.409681876912e-03,7.234181290930e-03,7.065064272143e-03,6.895492152666e-03,6.759322452796e-03,6.644719774295e-03,6.510545799354e-03,6.404825053205e-03,6.300102169545e-03,6.196377148324e-03,6.125599446025e-03,3.539136342980e-03
18.100000,6.263644910570e-03,8.119565663967e-03,8.962652556987e-03,8.790617515933e-03,8.617617224167e-03,8.479663224391e-03,8.366482617085e-03,8.151281242567e-03,8.046475472102e-03,8.177342193764e-03,7.965190208781e-03,7.731855062199e-03,7.523941437171e-03,7.350402125665e-03,7.177425333173e-03,7.010775116556e-03,6.843673231895e-03,6.709485046298e-03,6.596480022300e-03,6.464269022831e-03,6.360066721487e-03,6.256853013191e-03,6.154627897975e-03,6.084864813761e-03,3.527227318680e-03
18.600000,6.228251063333e-03,8.048686478468e-03,8.881714097932e-03,8.711795966908e-03,8.540917751672e-03,8.404589847847e-03,8.292805270154e-03,8.080113013639e-03,7.977875453348e-03,8.107295415575e-03,7.898132832842e-03,7.668160253779e-03,7.463198795060e-03,7.292122671654e-03,7.121603421254e-03,6.957354944241e-03,6.792658179649e-03,6.660399304514e-03,6.548950425698e-03,6.418650568171e-03,6.315926878828e-03,6.214182698293e-03,6.113418026564e-03,6.044642956697e-03,3.515139542990e-03
19.100000,6.193190233770e-03,7.979131582082e-03,8.802334687266e-03,8.634483331197e-03,8.465676916849e-03,8.330937455650e-03,8.220515758129e-03,8.010274780644e-03,7.910529279358e-03,8.038531889740e-03,7.832282062832e-03,7.605585219854e-03,7.403500059098e-03,7.234823809164e-03,7.066698925223e-03,6.904790152879e-03,6.742436422234e-03,6.612057081011e-03,6.502124755870e-03,6.373686620358e-03,6.272403558541e-03,6.172091099584e-03,6.072749243492e-03,6.004936818498e-03,3.502906602210e-03
19.600000,6.158472549155e-03,7.910864612255e-03,8.724468101094e-03,8.558635511557e-03,8.391852757536e-03,8.258665657692e-03,8.149575100719e-03,7.941729970961e-03,7.844404059756e-03,7.971017697643e-03,7.767607437314e-03,7.544103427904e-03,7.344822122089e-03,7.178485290765e-03,7.012694450477e-03,6.853066155712e-03,6.692996181634e-03,6.564448848982e-03,6.455995265400e-03,6.329371670207e-03,6.229492965897e-03,6.130576130337e-03,6.032621163514e-03,5.965747158784e-03,3.490557780210e-03
