energy_MeV_per_u,moved_fraction,quantile,radius_mm
200,0.102426732,0.13,3.16451973
200,0.102426732,0.14,3.16451973
200,0.102426732,0.15,3.16461544
200,0.102426732,0.16,3.16461544
200,0.102426732,0.17,3.16547286
200,0.102426732,0.18,3.16547286
200,0.102426732,0.19,3.16547286
200,0.102426732,0.2,4.23954824
200,0.102426732,0.21,4.24168235
200,0.102426732,0.22,4.24360128
200,0.102426732,0.23,4.24360128
200,0.102426732,0.24,4.24573335
200,0.102426732,0.25,5.09591422
200,0.102426732,0.26,5.09650616
200,0.102426732,0.27,5.09697918
200,0.102426732,0.28,5.09993758
200,0.102426732,0.29,5.10106108
200,0.102426732,0.3,5.10153369
200,0.102426732,0.31,5.10212497
200,0.102426732,0.32,5.82771897
200,0.102426732,0.33,5.82927168
200,0.102426732,0.34,5.83077203
200,0.102426732,0.35,5.83263342
200,0.102426732,0.36,5.83371965
200,0.102426732,0.37,7.06797532
200,0.102426732,0.38,7.06844496
200,0.102426732,0.39,7.06998051
200,0.102426732,0.4,7.07202795
200,0.102426732,0.41,7.07369117
200,0.102426732,0.42,7.07416043
200,0.102426732,0.43,7.61325835
200,0.102426732,0.44,7.6160315
200,0.102426732,0.45,7.61900081
200,0.102426732,0.46,8.60087093
200,0.102426732,0.47,8.60378058
200,0.102426732,0.48,9.05237096
200,0.102426732,0.49,9.05656833
200,0.102426732,0.5,9.48363784
200,0.102426732,0.51,9.48735838
200,0.102426732,0.52,9.89640243
200,0.102426732,0.53,10.2929203
200,0.102426732,0.54,10.2983403
200,0.102426732,0.55,11.0441187
200,0.102426732,0.56,11.3985932
200,0.102426732,0.57,11.4011862
200,0.102426732,0.58,11.4049154
200,0.102426732,0.59,12.0832339
200,0.102426732,0.6,13.0351778
200,0.102426732,0.61,13.038671
200,0.102426732,0.62,13.3385331
200,0.102426732,0.63,13.9259521
200,0.102426732,0.64,14.2120238
200,0.102426732,0.65,14.7675096
200,0.102426732,0.66,15.2945449
200,0.102426732,0.67,15.8081932
200,0.102426732,0.68,15.8145835
200,0.102426732,0.69,17.0277126
200,0.102426732,0.7,17.2636642
200,0.102426732,0.71,17.720684
200,0.102426732,0.72,18.5996569
200,0.102426732,0.73,19.2335577
200,0.102426732,0.74,19.8482561
200,0.102426732,0.75,21.0205609
200,0.102426732,0.76,21.2158266
200,0.102426732,0.77,22.1327485
200,0.102426732,0.78,23.0203466
200,0.102426732,0.79,23.7092049
200,0.102426732,0.8,24.7009687
200,0.102426732,0.81,25.4981322
200,0.102426732,0.82,27.0157048
